,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6
1.483585858585859e+00,-1.717784426268203e+01,-1.373762940560453e+01,-2.007794529500391e+01,-1.413496985166290e+01,-1.329126688031274e+01,-2.357927695103507e+01
1.489898989898990e+00,-1.729624301786694e+01,-1.383231638704078e+01,-2.021633307482350e+01,-1.423239551284722e+01,-1.338287729599675e+01,-2.374179775378956e+01
1.515151515151515e+00,-1.777203472165537e+01,-1.421282106509903e+01,-2.077245173874888e+01,-1.462390572133894e+01,-1.375101863071761e+01,-2.439489625573632e+01
1.616161616161616e+00,-1.970902865350942e+01,-1.576189232164337e+01,-2.303646447549306e+01,-1.621778155412263e+01,-1.524975752368501e+01,-2.705372326995504e+01
1.717171717171717e+00,-2.169677421029059e+01,-1.735155115159444e+01,-2.535979713232367e+01,-1.785341889535278e+01,-1.678776522018799e+01,-2.978221482423897e+01
1.818181818181818e+00,-2.373119887886456e+01,-1.897854064591678e+01,-2.773768964187289e+01,-1.952746663475652e+01,-1.836189063455395e+01,-3.257478075758698e+01
1.919191919191919e+00,-2.580869099597397e+01,-2.063997245083279e+01,-3.016592059101132e+01,-2.123695287723011e+01,-1.996933926128495e+01,-3.542646349750645e+01
2.020202020202020e+00,-2.792603781536723e+01,-2.233327723827639e+01,-3.264073483197423e+01,-2.297923398072437e+01,-2.160762525482342e+01,-3.833285304746455e+01
2.121212121212121e+00,-3.008037240984805e+01,-2.405616224189384e+01,-3.515878141999045e+01,-2.475195086403754e+01,-2.327453034529164e+01,-4.129001410164959e+01
2.222222222222222e+00,-3.226912826014765e+01,-2.580657494042357e+01,-3.771706053548486e+01,-2.655299163979116e+01,-2.496806870186978e+01,-4.429442371109813e+01
2.323232323232323e+00,-3.449000045149019e+01,-2.758267202544354e+01,-4.031287812953778e+01,-2.838045968461565e+01,-2.668645690884203e+01,-4.734291801991436e+01
2.424242424242424e+00,-3.674091250670345e+01,-2.938279287683024e+01,-4.294380715749605e+01,-3.023264634742665e+01,-2.842808830288993e+01,-5.043264673852893e+01
2.525252525252525e+00,-3.901998800506197e+01,-3.120543686550933e+01,-4.560765440628242e+01,-3.210800759569143e+01,-3.019151101332120e+01,-5.356103418612379e+01
2.626262626262626e+00,-4.132552625419393e+01,-3.304924389756098e+01,-4.830243205903915e+01,-3.400514399680162e+01,-3.197540913833525e+01,-5.672574589652086e+01
2.727272727272727e+00,-4.365598139111390e+01,-3.491297770069858e+01,-5.102633326782995e+01,-3.592278352113815e+01,-3.377858657455697e+01,-5.992465993108195e+01
2.828282828282828e+00,-4.600994438481043e+01,-3.679551143120648e+01,-5.377771111776066e+01,-3.785976673271115e+01,-3.559995309163329e+01,-6.315584217444641e+01
2.929292929292929e+00,-4.838612749623751e+01,-3.869581524613609e+01,-5.655506046338200e+01,-3.981503400190039e+01,-3.743851230823304e+01,-6.641752500343974e+01
3.030303030303030e+00,-5.078335082268289e+01,-4.061294554243996e+01,-5.935700220137065e+01,-4.178761443334727e+01,-3.929335128082261e+01,-6.970808881711537e+01
3.131313131313131e+00,-5.320053061352919e+01,-4.254603561274070e+01,-6.218226961366371e+01,-4.377661625145588e+01,-4.116363146304732e+01,-7.302604599831005e+01
3.232323232323232e+00,-5.563666909479070e+01,-4.449428750771263e+01,-6.502969647409245e+01,-4.578121842740616e+01,-4.304858083252024e+01,-7.637002694622969e+01
3.333333333333333e+00,-5.809084558189431e+01,-4.645696492871014e+01,-6.789820666075178e+01,-4.780066336621206e+01,-4.494748701438299e+01,-7.973876787735156e+01
3.434343434343434e+00,-6.056220869526363e+01,-4.843338700234046e+01,-7.078680505735714e+01,-4.983425050123323e+01,-4.685969125815483e+01,-8.313110014009669e+01
3.535353535353535e+00,-6.304996952249763e+01,-5.042292281205592e+01,-7.369456956100736e+01,-5.188133066760157e+01,-4.878458314700423e+01,-8.654594082885075e+01
3.636363636363636e+00,-6.555339559528763e+01,-5.242498658131652e+01,-7.662064404223658e+01,-5.394130114606418e+01,-5.072159593741997e+01,-8.998228451634094e+01
3.737373737373737e+00,-6.807180556951985e+01,-5.443903341911098e+01,-7.956423212696942e+01,-5.601360128544976e+01,-5.267020244296853e+01,-9.343919595124527e+01
3.838383838383838e+00,-7.060456451395899e+01,-5.646455555217767e+01,-8.252459168980208e+01,-5.809770862591223e+01,-5.462991138893751e+01,-9.691580359117373e+01
