r2,r1,n,free_energy,tension
54.20000000,48.23800000,1.00000000,74.89989819,1.88200100
54.40000000,48.41600000,1.00000000,75.27845795,1.90365435
54.60000000,48.59400000,1.00000000,75.66138327,1.92565783
54.80000000,48.77200000,1.00000000,76.04874496,1.94801944
55.00000000,48.40000000,1.00000000,76.43578044,1.93466645
55.20000000,48.57600000,1.00000000,76.82489806,1.95656741
55.40000000,48.75200000,1.00000000,77.21843073,1.97881819
55.60000000,48.92800000,1.00000000,77.61644919,2.00142669
55.80000000,49.10400000,1.00000000,78.01902579,2.02440104
56.00000000,49.28000000,1.00000000,78.42623455,2.04774961
56.20000000,49.45600000,1.00000000,78.83815116,2.07148099
56.40000000,49.63200000,1.00000000,79.25485305,2.09560403
56.60000000,49.80800000,1.00000000,79.67641948,2.12012783
56.80000000,49.98400000,1.00000000,80.10293153,2.14506178
57.00000000,50.16000000,1.00000000,80.53447218,2.17041551
57.20000000,50.33600000,1.00000000,80.97112638,2.19619897
57.40000000,50.51200000,1.00000000,81.41298110,2.22242237
57.60000000,50.68800000,1.00000000,81.86012536,2.24909625
57.80000000,50.86400000,1.00000000,82.31265035,2.27623147
58.00000000,51.04000000,1.00000000,82.77064945,2.30383921
58.20000000,51.21600000,1.00000000,83.23421830,2.33193097
58.40000000,51.39200000,1.00000000,83.70345490,2.36051865
58.60000000,51.56800000,1.00000000,84.17845964,2.38961448
58.80000000,51.74400000,1.00000000,84.65933541,2.41923109
59.00000000,51.92000000,1.00000000,85.14618766,2.44938148
59.20000000,52.09600000,1.00000000,85.63912448,2.48007908
59.40000000,52.27200000,1.00000000,86.13825670,2.51133775
59.60000000,52.44800000,1.00000000,86.64369794,2.54317178
59.80000000,52.62400000,1.00000000,87.15556474,2.57559591
60.00000000,52.80000000,1.00000000,87.67397665,2.60862537
60.20000000,52.37400000,1.00000000,88.19689023,2.58642272
60.40000000,52.54800000,1.00000000,88.71739809,2.61875345
60.60000000,52.72200000,1.00000000,89.24443114,2.65167714
60.80000000,52.89600000,1.00000000,89.77810948,2.68520892
61.00000000,53.07000000,1.00000000,90.31855629,2.71936445
61.20000000,53.24400000,1.00000000,90.86589792,2.75415989
61.40000000,53.41800000,1.00000000,91.42026401,2.78961191
61.60000000,53.59200000,1.00000000,91.98178760,2.82573773
61.80000000,53.76600000,1.00000000,92.55060521,2.86255516
62.00000000,53.94000000,1.00000000,93.12685699,2.90008258
62.20000000,54.11400000,1.00000000,93.71068684,2.93833900
62.40000000,54.28800000,1.00000000,94.30224250,2.97734406
62.60000000,54.46200000,1.00000000,94.90167573,3.01711807
62.80000000,54.63600000,1.00000000,95.50914239,3.05768205
63.00000000,54.81000000,1.00000000,96.12480266,3.09905773
63.20000000,54.98400000,1.00000000,96.74882109,3.14126758
63.40000000,55.15800000,1.00000000,97.38136685,3.18433487
63.60000000,55.33200000,1.00000000,98.02261381,3.22828370
63.80000000,55.50600000,1.00000000,98.67274076,3.27313900
64.00000000,55.68000000,1.00000000,99.33193156,3.31892661
64.20000000,55.85400000,1.00000000,100.00037534,3.36567328
64.40000000,56.02800000,1.00000000,100.67826666,3.41340675
64.60000000,56.20200000,1.00000000,101.36580574,3.46215574
64.80000000,56.37600000,1.00000000,102.06319864,3.51195005
65.00000000,56.55000000,1.05000000,102.73722385,3.30745556
65.20000000,56.72400000,1.05000000,103.40324973,3.35295732
65.40000000,56.89800000,1.05000000,104.07846926,3.39939640
65.60000000,57.07200000,1.05000000,104.76307255,3.44679944
65.80000000,61.85200000,2.00000000,105.20579053,1.52885689
66.00000000,62.04000000,2.00000000,105.51284875,1.54174936
66.20000000,62.22800000,2.00000000,105.82249996,1.55478710
66.40000000,62.41600000,2.00000000,106.13477343,1.56797240
66.60000000,62.60400000,2.00000000,106.44969891,1.58130761
66.80000000,62.79200000,2.00000000,106.76730663,1.59479515
67.00000000,62.98000000,2.00000000,107.08762729,1.60843746
67.20000000,63.16800000,2.00000000,107.41069209,1.62223703
67.40000000,63.35600000,2.00000000,107.73653276,1.63619643
67.60000000,63.54400000,2.00000000,108.06518150,1.65031826
67.80000000,63.73200000,2.00000000,108.39667106,1.66460515
68.00000000,63.92000000,2.00000000,108.73103474,1.67905983
68.20000000,64.10800000,2.00000000,109.06830636,1.69368505
68.40000000,64.29600000,2.00000000,109.40852032,1.70848364
68.60000000,64.48400000,2.00000000,109.75171157,1.72345848
68.80000000,64.67200000,2.00000000,110.09791566,1.73861249
69.00000000,64.86000000,2.00000000,110.44716871,1.75394869
69.20000000,65.04800000,2.00000000,110.79950748,1.76947013
69.40000000,65.23600000,2.00000000,111.15496932,1.78517994
69.60000000,65.42400000,2.00000000,111.51359223,1.80108131
69.80000000,65.61200000,2.00000000,111.87541484,1.81717750
70.00000000,65.80000000,2.00000000,112.24047644,1.83347183
70.20000000,65.98800000,2.00000000,112.60881701,1.84996772
70.40000000,65.47200000,2.00000000,112.97760091,1.83395788
70.60000000,65.65800000,2.00000000,113.34599729,1.85003814
70.80000000,65.84400000,2.00000000,113.71762914,1.86631316
71.00000000,66.03000000,2.00000000,114.09253576,1.88278626
71.20000000,66.21600000,2.00000000,114.47075708,1.89946081
71.40000000,66.40200000,2.00000000,114.85233374,1.91634023
71.60000000,66.58800000,2.00000000,115.23730707,1.93342806
71.80000000,66.77400000,2.00000000,115.62571909,1.95072787
72.00000000,66.96000000,2.00000000,116.01761259,1.96824334
