r,n_opt,F_min,partial_F_r,eefactor
5.106553,0.373152,12.324147,2.959193,0.684246
5.122561,0.374771,12.371454,2.943760,0.683426
5.138569,0.376389,12.418661,2.928608,0.682615
5.154577,0.377134,12.465696,2.944493,0.683388
5.170585,0.378751,12.512619,2.929472,0.682584
5.186593,0.380367,12.559433,2.914720,0.681788
5.202601,0.381982,12.606133,2.900229,0.681001
5.218609,0.382726,12.652684,2.915744,0.681768
5.234617,0.384340,12.699088,2.901375,0.680988
5.250625,0.385953,12.745369,2.887257,0.680215
5.266633,0.387566,12.791524,2.873384,0.679451
5.282641,0.389177,12.837550,2.859751,0.678694
5.298649,0.389920,12.883435,2.874787,0.679454
5.314657,0.391530,12.929148,2.861262,0.678703
5.330665,0.393140,12.974723,2.847968,0.677961
5.346673,0.394748,13.020157,2.834898,0.677226
5.362681,0.396356,13.065446,2.822049,0.676498
5.378689,0.397963,13.110586,2.809413,0.675777
5.394697,0.399570,13.155574,2.796988,0.675063
5.410705,0.401175,13.200407,2.784767,0.674357
5.426713,0.402780,13.245081,2.772747,0.673657
5.442721,0.880648,13.266325,0.471084,0.309018
5.458729,0.881167,13.273873,0.472683,0.309744
5.474737,0.880822,13.281463,0.474932,0.310774
5.490745,0.881341,13.289068,0.476538,0.311500
5.506753,0.881860,13.296716,0.478146,0.312224
5.522761,0.881516,13.304386,0.480414,0.313254
5.538769,0.882036,13.312091,0.482030,0.313977
5.554777,0.881693,13.319826,0.484313,0.315006
5.570785,0.882213,13.327589,0.485935,0.315728
5.586793,0.881872,13.335390,0.488233,0.316758
5.602801,0.882392,13.343210,0.489863,0.317478
5.618809,0.882912,13.351073,0.491495,0.318197
5.634817,0.882573,13.358956,0.493813,0.319227
5.650825,0.883093,13.366877,0.495452,0.319945
5.666833,0.882755,13.374827,0.497785,0.320974
5.682841,0.883276,13.382807,0.499432,0.321691
5.698849,0.882939,13.390823,0.501779,0.322720
5.714857,0.883460,13.398862,0.503434,0.323436
5.730865,0.883982,13.406944,0.505091,0.324151
5.746873,0.883646,13.415044,0.507459,0.325180
5.762881,0.884168,13.423186,0.509124,0.325893
5.778889,0.883834,13.431353,0.511508,0.326922
5.794897,0.884356,13.439554,0.513180,0.327634
5.810905,0.884023,13.447791,0.515579,0.328663
5.826913,0.884545,13.456051,0.517260,0.329373
5.842921,0.885068,13.464356,0.518942,0.330083
5.858929,0.884736,13.472678,0.521363,0.331112
5.874937,0.885259,13.481043,0.523053,0.331820
5.890945,0.884929,13.489433,0.525489,0.332848
5.906953,0.885452,13.497859,0.527188,0.333556
5.922961,0.885123,13.506320,0.529640,0.334584
5.938969,0.885647,13.514806,0.531347,0.335290
5.954977,0.886171,13.523337,0.533057,0.335995
5.970985,0.885843,13.531884,0.535531,0.337023
5.986993,0.886368,13.540476,0.537248,0.337726
6.003002,0.886041,13.549095,0.539739,0.338754
6.019010,0.886566,13.557748,0.541465,0.339456
6.035018,0.886241,13.566438,0.543972,0.340484
6.051026,0.886766,13.575154,0.545706,0.341185
6.067034,0.887291,13.583914,0.547442,0.341885
