,Domain_1,Domain_2,Domain_3,Domain_4,Domain_5,Domain_6,Domain_7,Domain_8,Domain_9,Domain_10
4.610262784090908,-62.2719176546987,-53.10409207910445,-41.54716583329689,-40.011674965643266,-37.50832911474069,-76.09371840203417,-73.78659244607462,-35.12582568525595,-42.998223581366354,-53.68589578879683
4.6103614267676765,-62.27276445254559,-53.10560153962563,-41.54834679325943,-40.012812279951504,-37.509395272541305,-76.09470008535357,-73.78755161439904,-35.12682412144175,-42.999445787008824,-53.688038262859465
4.610558712121211,-62.27445805793984,-53.108620477959576,-41.550708726712955,-40.01508692159642,-37.51152760035585,-76.096663463238,-73.78946996203554,-35.1288210052509,-43.0018902122947,-53.69109031145861
4.610953282828282,-62.277845307527144,-53.114658423788335,-41.55543264772956,-40.01963625699605,-37.51579230483446,-76.10059026398591,-73.79330670125601,-35.132814818615834,-43.006779118865786,-53.69719447857631
4.611742424242424,-62.284619961872416,-53.12673459204548,-41.56488070616661,-40.02873513620136,-37.524321909158715,-76.10844404536931,-73.80098035545882,-35.14080262830316,-43.01655715596984,-53.70940309244493
4.61489898989899,-62.31172064716566,-53.17504295123338,-41.602675823863464,-40.065133430386865,-37.55844293005319,-76.1398615682105,-73.83167731459514,-35.172756305271164,-43.055672289058194,-53.75824127450677
4.621212121212121,-62.36593193206597,-53.27167734238122,-41.678279885942864,-40.13794333444004,-37.62669745442348,-76.20270810744657,-73.89308246281577,-35.2366753489035,-43.133916864825245,-53.85593550522896
4.646464646464646,-62.582908738713435,-53.65844961022428,-41.980879759562,-40.429359789571386,-37.89988132682831,-76.45424690453208,-74.13885219502423,-35.49250676844663,-43.4470852064102,-54.24694970548197
4.747474747474747,-63.45289123341285,-55.20923795326301,-43.1941734613844,-41.5978128539745,-38.995229675338884,-77.46280792809677,-75.12428178103397,-36.518279338499475,-44.70275386188834,-55.81474634999479
4.848484848484849,-64.326110729509,-56.76579641703756,-44.41198154531378,-42.77061345895979,-40.09465355888107,-78.47512157135421,-76.11337792006717,-37.54786856838424,-45.96309456676562,-57.388376399155426
4.8989898989899,-64.76390087903592,-57.54617977500169,-45.02253179704547,-43.35859913096686,-40.645851680912465,-78.98264681927996,-76.60926303090093,-38.06405496243255,-46.594968623757964,-58.17731862685647
4.911616161616163,-64.87346918812493,-57.74149089624488,-45.17533779043843,-43.50575775461336,-40.783803268606434,-79.10966814055752,-76.73337110677971,-38.19324395956221,-46.75311145099306,-58.374771826640725
4.917929292929294,-64.92827132277222,-57.83917850732033,-45.25176586251928,-43.57936121509054,-40.85280170023751,-79.17319964532933,-76.79544551079007,-38.25785965797456,-46.83220881576665,-58.47353082850067
4.92108585858586,-64.95567687443409,-57.888030306420575,-45.28998615250087,-43.616168968138545,-40.88730656204307,-79.20497059635866,-76.82648779220732,-38.29017279454133,-46.87176397051698,-58.52291841066274
4.921480429292931,-64.9591027783722,-57.894137155608874,-45.29476398159109,-43.620770219289255,-40.8916199341438,-79.20894220866522,-76.83036831522934,-38.294212184194286,-46.87670866793097,-58.529092236838906
4.921677714646465,-64.96081574783256,-57.89719061138216,-45.297152920529896,-43.62307086835676,-40.89377664221653,-79.21092803509598,-76.83230859655276,-38.29623189964428,-46.879181041883626,-58.53217918144809
4.921776357323234,-64.96167223693524,-57.898717347063034,-45.298347396097284,-43.62422119876314,-40.89485500175809,-79.21192095338037,-76.83327874216721,-38.29724176252479,-46.88041723517092,-58.533722661632396
4.921875000000001,-64.9633446388017,-57.90024408793981,-45.2995418757298,-43.625371533084405,-40.89593336496961,-79.21291387504392,-76.83424889108335,-38.298251628842145,-46.88165343266531,-58.53526614706959
4.922664141414142,-64.97704872093172,-57.91245820198738,-45.309097859119646,-43.634574348576216,-40.90456040276659,-79.22085736999026,-76.84201020126045,-38.3063306830946,-46.891543164060835,-58.547614219651784
4.924242424242425,-65.00445800408991,-57.936887427329104,-45.32821060611737,-43.65298073094276,-40.9218151827329,-79.23674500844598,-76.85753345530289,-38.32248945123061,-46.911323434319456,-58.572311373000105
4.94949494949495,-65.44320882796563,-58.327935331919534,-45.63415561910395,-43.94761869652855,-41.198019010550134,-79.4910644819492,-77.10602008886593,-38.58114900068241,-47.22795374611458,-58.967648103130095
5.05050505050505,-67.20196857465565,-59.89547498357368,-46.860555079253444,-45.128693159572094,-42.30519909503528,-80.51051978198882,-78.10209409014234,-39.61800176292737,-48.4971858857787,-60.5523797765631
5.151515151515151,-68.96659662316536,-61.46824490946371,-48.0910465606112,-46.31370841181878,-43.41607341172964,-81.53337661052235,-79.10149160555147,-40.65831410227653,-49.770652962755214,-62.14239908736694
5.202020202020202,-69.8510541527051,-62.25654032637149,-48.70778698737734,-46.90765548375509,-43.97285995640824,-82.04604749569936,-79.6024043379845,-41.179733946185024,-50.40893339006911,-62.9393401496728
5.2272727272727275,-70.29380914660811,-62.651157050012685,-49.016524145208614,-47.20498240272056,-44.25158450220155,-82.30268796407651,-79.85315873419584,-41.4407540993299,-50.72845336391208,-63.33828483994629
5.23989898989899,-70.51531702331846,-62.84858161613131,-49.17098363913762,-47.35373341719991,-44.39102885218275,-82.43108377216677,-79.97860977290898,-41.571341039506564,-50.88830744110406,-63.53787466385397
5.246212121212121,-70.62610341114885,-62.947322820616186,-49.24823601342172,-47.42813071550377,-44.460771454871214,-82.49530048536964,-80.04135367003356,-41.63665363973936,-50.96825789729131,-63.63769881442967
5.249368686868687,-70.68150469935622,-62.99670063710376,-49.286867844788674,-47.465334800282605,-44.49564785176025,-82.5274135337825,-80.07273020280016,-41.66931471173504,-51.00823896673751,-63.68761818308503
5.250157828282829,-70.69535586369176,-63.00904584193255,-49.29652638996262,-47.474636387103025,-44.504367481219646,-82.53544228411076,-80.08057481301937,-41.67748047629078,-51.01823484194417,-63.70009878418915
5.2505523989899,-70.7022815721468,-63.01521855690372,-49.301355750610895,-47.479287265319996,-44.50872737545012,-82.53945673247662,-80.08449718965186,-41.681563433019605,-51.023232870684396,-63.70633919853247
5.250651041666667,-70.70401301241378,-63.01676174736966,-49.30256309994483,-47.480449993707126,-44.509817357288,-82.54046035219227,-80.08547779157016,-41.68258417995611,-51.024482387361644,-63.70789931397002
5.250749684343434,-70.70574445794176,-63.01830494252458,-49.303770452947276,-47.4816127256272,-44.51090734243778,-82.54146397495742,-80.08843041580181,-41.68360492999416,-51.02573190783555,-63.70945943414797
5.25094696969697,-70.70920736478,-63.02139134690081,-49.30618516995736,-47.48393820006579,-44.51308732267269,-82.54347122963586,-80.09235285202644,-41.685646439374494,-51.02823096017288,-63.712579688724546
