# lambda,sigma
3.362362e+00,7.347385e+01
3.366366e+00,7.362769e+01
3.370370e+00,7.330111e+01
3.374374e+00,7.340054e+01
3.378378e+00,7.362415e+01
3.382382e+00,7.346187e+01
3.386386e+00,7.365409e+01
3.390390e+00,7.388699e+01
3.394394e+00,7.405906e+01
3.398398e+00,7.392494e+01
3.402402e+00,7.404789e+01
3.406406e+00,7.402828e+01
3.410410e+00,7.382479e+01
3.414414e+00,7.405342e+01
3.418418e+00,7.430005e+01
3.422422e+00,7.454529e+01
3.426426e+00,7.466488e+01
3.430430e+00,7.460471e+01
3.434434e+00,7.465225e+01
3.438438e+00,7.489770e+01
3.442442e+00,7.515868e+01
3.446446e+00,7.528665e+01
3.450450e+00,7.488438e+01
3.454454e+00,7.480864e+01
3.458458e+00,7.455733e+01
3.462462e+00,7.450016e+01
3.466466e+00,7.438563e+01
3.470470e+00,7.437806e+01
3.474474e+00,7.446548e+01
3.478478e+00,7.418868e+01
3.482482e+00,7.413692e+01
3.486486e+00,7.403771e+01
3.490490e+00,7.424268e+01
3.494494e+00,7.448907e+01
3.498498e+00,7.442575e+01
3.502503e+00,7.423743e+01
3.506507e+00,7.443617e+01
3.510511e+00,7.444818e+01
3.514515e+00,7.432325e+01
3.518519e+00,7.411796e+01
3.522523e+00,7.408192e+01
3.526527e+00,7.431426e+01
3.530531e+00,7.438502e+01
3.534535e+00,7.443795e+01
3.538539e+00,7.421695e+01
3.542543e+00,7.421344e+01
3.546547e+00,7.382247e+01
3.550551e+00,7.365101e+01
3.554555e+00,7.388485e+01
3.558559e+00,7.393630e+01
3.562563e+00,7.336202e+01
3.566567e+00,7.331600e+01
3.570571e+00,7.336548e+01
3.574575e+00,7.333615e+01
3.578579e+00,7.354945e+01
3.582583e+00,7.369392e+01
3.586587e+00,7.355941e+01
3.590591e+00,7.344767e+01
3.594595e+00,7.337686e+01
3.598599e+00,7.359265e+01
3.602603e+00,7.362880e+01
3.606607e+00,7.385380e+01
3.610611e+00,7.407645e+01
3.614615e+00,7.418016e+01
3.618619e+00,7.438261e+01
3.622623e+00,7.438009e+01
3.626627e+00,7.422976e+01
3.630631e+00,7.429846e+01
3.634635e+00,7.424601e+01
3.638639e+00,7.443764e+01
3.642643e+00,7.467286e+01
3.646647e+00,7.490722e+01
3.650651e+00,7.503641e+01
3.654655e+00,7.496308e+01
3.658659e+00,7.486136e+01
3.662663e+00,7.496956e+01
3.666667e+00,7.514439e+01
3.670671e+00,7.514070e+01
3.674675e+00,7.495302e+01
3.678679e+00,7.491063e+01
3.682683e+00,7.499488e+01
3.686687e+00,7.503192e+01
3.690691e+00,7.525016e+01
3.694695e+00,7.548826e+01
3.698699e+00,7.572505e+01
3.702703e+00,7.595956e+01
3.706707e+00,7.619694e+01
3.710711e+00,7.632966e+01
3.714715e+00,7.627695e+01
3.718719e+00,7.651099e+01
3.722723e+00,7.675424e+01
3.726727e+00,7.688517e+01
3.730731e+00,7.689679e+01
3.734735e+00,7.703573e+01
3.738739e+00,7.684153e+01
3.742743e+00,7.629710e+01
3.746747e+00,7.594167e+01
3.750751e+00,7.587136e+01
