,Domain_1,Domain_2,Domain_3,Domain_4
1.403389362373737e+00,-1.644298587133783e+01,-1.748518358038022e+01,-1.359981873234490e+01,-9.855798448374509e+00
1.403488005050505e+00,-1.644487451761611e+01,-1.747041440352383e+01,-1.360138081159469e+01,-9.856930488333960e+00
1.403882575757576e+00,-1.645242971327539e+01,-1.747844062328429e+01,-1.360762963357006e+01,-9.861459014128393e+00
1.404671717171717e+00,-1.646754303407405e+01,-1.749449638858135e+01,-1.362012970046266e+01,-9.870517821624968e+00
1.407828282828283e+00,-1.652803532556901e+01,-1.755876111665316e+01,-1.367016223138331e+01,-9.906776432884488e+00
1.414141414141414e+00,-1.664920656681078e+01,-1.768748887148080e+01,-1.377038167627950e+01,-9.979405536914793e+00
1.515151515151515e+00,-1.862069680040732e+01,-1.978192571007975e+01,-1.540098028040758e+01,-1.116110152189622e+01
1.616161616161616e+00,-2.065018736095264e+01,-2.193797990764003e+01,-1.707955033808383e+01,-1.237756245387815e+01
1.717171717171717e+00,-2.273285307193497e+01,-2.415052537869251e+01,-1.880210099713426e+01,-1.362589615941045e+01
1.818181818181818e+00,-2.486442694685121e+01,-2.641502903777243e+01,-2.056510307840433e+01,-1.490354503981333e+01
1.919191919191919e+00,-2.704112485588654e+01,-2.872747076814210e+01,-2.236542676837088e+01,-1.620824091696822e+01
2.020202020202020e+00,-2.925958063558335e+01,-3.108427448475164e+01,-2.420028794903945e+01,-1.753796613855562e+01
2.121212121212121e+00,-3.151679045532195e+01,-3.348224903128712e+01,-2.606720218405218e+01,-1.889092023175435e+01
2.222222222222222e+00,-3.381006523769027e+01,-3.591853763336655e+01,-2.796394536608165e+01,-2.026549138437939e+01
2.323232323232323e+00,-3.613699000208177e+01,-3.839057470671231e+01,-2.988852009035307e+01,-2.166023207574922e+01
2.424242424242424e+00,-3.849538911399865e+01,-4.089604893932197e+01,-3.183912691271258e+01,-2.307383824738713e+01
2.525252525252525e+00,-4.088329654861897e+01,-4.343287170060407e+01,-3.381413975493993e+01,-2.450513147923360e+01
2.626262626262626e+00,-4.329893040097222e+01,-4.599914996195038e+01,-3.581208482238573e+01,-2.595304371124278e+01
2.727272727272727e+00,-4.574067098899063e+01,-4.859316303424367e+01,-3.783162249323807e+01,-2.741660411852098e+01
2.828282828282828e+00,-4.820704199667228e+01,-5.121334253506588e+01,-3.987153172223336e+01,-2.889492780868461e+01
2.929292929292929e+00,-5.069669419199563e+01,-5.385825509122469e+01,-4.193069657391655e+01,-3.038720606250419e+01
3.030303030303030e+00,-5.320839132874563e+01,-5.652658736138557e+01,-4.400809456219143e+01,-3.189269788356803e+01
3.131313131313131e+00,-5.574099790432115e+01,-5.921713303042834e+01,-4.610278652493345e+01,-3.341072266040678e+01
3.232323232323232e+00,-5.829346849836634e+01,-6.192878148321130e+01,-4.821390780608499e+01,-3.494065377615159e+01
3.333333333333333e+00,-6.086483846116305e+01,-6.466050791227073e+01,-5.034066055412384e+01,-3.648191302722865e+01
3.434343434343434e+00,-6.345421575748844e+01,-6.741136465304292e+01,-5.248230697620457e+01,-3.803396573463048e+01
3.535353535353535e+00,-6.606077380226927e+01,-7.018047357273369e+01,-5.463816341260437e+01,-3.959631644966268e+01
3.636363636363636e+00,-6.868374514988065e+01,-7.296701936606732e+01,-5.680759511720917e+01,-4.116850517135838e+01
3.737373737373737e+00,-7.132241592020942e+01,-7.577024363374676e+01,-5.899001164736998e+01,-4.275010400550379e+01
3.838383838383838e+00,-7.397612086235958e+01,-7.858943963832041e+01,-6.118486278114607e+01,-4.434071420586148e+01
3.939393939393939e+00,-7.664423897172466e+01,-8.142394764792529e+01,-6.339163489223220e+01,-4.593996354707743e+01
4.040404040404041e+00,-7.932618958858912e+01,-8.427315079158826e+01,-6.560984772315339e+01,-4.754750398621297e+01
4.141414141414141e+00,-8.202142891686300e+01,-8.713647136086109e+01,-6.783905150594722e+01,-4.916300957610122e+01
4.242424242424242e+00,-8.472944691033908e+01,-9.001336750189762e+01,-7.007882438682039e+01,-5.078617459899375e+01
4.343434343434343e+00,-8.744976448127200e+01,-9.290333024995346e+01,-7.232877011739410e+01,-5.241671189340458e+01
4.444444444444445e+00,-9.018193099234426e+01,-9.580588086494532e+01,-7.458851598033590e+01,-5.405435135081391e+01
4.545454545454545e+00,-9.292552199839339e+01,-9.872056843234718e+01,-7.685771092156612e+01,-5.569883856207691e+01
4.646464646464646e+00,-9.568013720878743e+01,-1.016469676984949e+02,-7.913602386496045e+01,-5.734993359608739e+01
4.747474747474747e+00,-9.844539864517941e+01,-1.045846771134539e+02,-8.142314218864814e+01,-5.900740989555005e+01
4.848484848484849e+00,-1.012209489726542e+02,-1.075333170580930e+02,-8.371877034472141e+01,-6.067105327668287e+01
4.949494949494950e+00,-1.040064499850915e+02,-1.104925282349905e+02,-8.602262860649509e+01,-6.234066102135527e+01
5.050505050505050e+00,-1.068015812279797e+02,-1.134619702053645e+02,-8.833445192945106e+01,-6.401604105161373e+01
5.151515151515151e+00,-1.096060387439930e+02,-1.164413200564204e+02,-9.065398891371775e+01,-6.569701117778990e+01
5.252525252525253e+00,-1.124195339284287e+02,-1.194302711854112e+02,-9.298100085741515e+01,-6.738339841245912e+01
5.353535353535354e+00,-1.152417924831543e+02,-1.224285321883505e+02,-9.531526089147518e+01,-6.907503834344405e+01
5.454545454545454e+00,-1.180725534590488e+02,-1.254358258427381e+02,-9.765655318765531e+01,-7.077177455986160e+01
5.555555555555555e+00,-1.209115683780900e+02,-1.284518881748980e+02,-1.000046722324259e+02,-7.247345812590855e+01
5.656565656565657e+00,-1.237586004272483e+02,-1.314764676036031e+02,-1.023594221602491e+02,-7.417994709768823e+01
5.757575757575758e+00,-1.266134237172359e+02,-1.345093241525967e+02,-1.047206161404972e+02,-7.589110607891006e+01
5.858585858585858e+00,-1.294758225999263e+02,-1.375502287254459e+02,-1.070880758128985e+02,-7.760680581175630e+01
5.959595959595959e+00,-1.323455910389391e+02,-1.405989624368740e+02,-1.094616307669540e+02,-7.932692279961547e+01
6.060606060606061e+00,-1.352225320284762e+02,-1.436553159953542e+02,-1.118411180612633e+02,-8.105133895873713e+01
6.161616161616162e+00,-1.381064570560173e+02,-1.467190891322977e+02,-1.142263817791261e+02,-8.277994129617596e+01
6.262626262626262e+00,-1.409971856049433e+02,-1.497900900736593e+02,-1.166172726171664e+02,-8.451262161166775e+01
6.363636363636363e+00,-1.438945446935587e+02,-1.528681350502125e+02,-1.190136475040637e+02,-8.624927622132327e+01
6.464646464646465e+00,-1.467983684473456e+02,-1.559530478431281e+02,-1.214153692467685e+02,-8.798980570124053e+01
6.565656565656566e+00,-1.497084977015986e+02,-1.590446593618282e+02,-1.238223062018456e+02,-8.973411464932710e+01
6.666666666666667e+00,-1.526247796318694e+02,-1.621428072513853e+02,-1.262343319698194e+02,-9.148211146379172e+01
6.767676767676767e+00,-1.555470674099045e+02,-1.652473355270028e+02,-1.286513251106030e+02,-9.323370813691587e+01
6.868686868686869e+00,-1.584752198829785e+02,-1.683580942333510e+02,-1.310731688782784e+02,-9.498882006284850e+01
6.969696969696970e+00,-1.614091012747259e+02,-1.714749391267420e+02,-1.334997509736577e+02,-9.674736585828715e+01
7.070707070707071e+00,-1.643485809057522e+02,-1.745977313783178e+02,-1.359309633132038e+02,-9.850926719501442e+01
7.171717171717171e+00,-1.672935329324636e+02,-1.777263372965926e+02,-1.383667018130186e+02,-1.002744486433543e+02
7.272727272727272e+00,-1.702438361026963e+02,-1.808606280678424e+02,-1.408068661867268e+02,-1.020428375256983e+02
7.373737373737374e+00,-1.731993735268541e+02,-1.840004795129704e+02,-1.432513597561869e+02,-1.038143637793274e+02
7.474747474747475e+00,-1.761600324633792e+02,-1.871457718595995e+02,-1.457000892740552e+02,-1.055889598278245e+02
7.575757575757575e+00,-1.791257041174819e+02,-1.902963895282501e+02,-1.481529647573186e+02,-1.073665604604349e+02
7.676767676767676e+00,-1.820962834521506e+02,-1.934522209315641e+02,-1.506098993309817e+02,-1.091471027187869e+02
7.777777777777778e+00,-1.850716690105433e+02,-1.966131582856207e+02,-1.530708090811697e+02,-1.109305257904347e+02
7.878787878787879e+00,-1.880517627489430e+02,-1.997790974324740e+02,-1.555356129169668e+02,-1.127167709087333e+02
7.979797979797979e+00,-1.910364698795224e+02,-2.029499376731129e+02,-1.580042324403694e+02,-1.145057812585928e+02
8.080808080808081e+00,-1.940256987222304e+02,-2.061255816101101e+02,-1.604765918237822e+02,-1.162975018877002e+02
8.181818181818182e+00,-1.970193605651632e+02,-2.093059349992863e+02,-1.629526176945330e+02,-1.180918796228271e+02
8.282828282828282e+00,-2.000173695328414e+02,-2.124909066097722e+02,-1.654322390259263e+02,-1.198888629908759e+02
8.383838383838384e+00,-2.030196424618532e+02,-2.156804080918970e+02,-1.679153870343887e+02,-1.216884021443414e+02
8.484848484848484e+00,-2.060260987833717e+02,-2.188743538523788e+02,-1.704019950823002e+02,-1.234904487908923e+02
8.585858585858587e+00,-2.090366604120899e+02,-2.220726609363338e+02,-1.728919985861340e+02,-1.252949561268000e+02
8.686868686868687e+00,-2.120512516411524e+02,-2.252752489156551e+02,-1.753853349295551e+02,-1.271018787739615e+02
8.787878787878787e+00,-2.150697990426966e+02,-2.284820397833522e+02,-1.778819433811594e+02,-1.289111727202844e+02
8.888888888888889e+00,-2.180922313736421e+02,-2.316929578534642e+02,-1.803817650165527e+02,-1.307227952632177e+02
8.989898989898990e+00,-2.211184794863967e+02,-2.349079296661986e+02,-1.828847426444971e+02,-1.325367049562300e+02
9.090909090909090e+00,-2.241484762441720e+02,-2.381268838979640e+02,-1.853908207368688e+02,-1.343528615580499e+02
9.191919191919192e+00,-2.271821564406199e+02,-2.413497512759969e+02,-1.878999453621908e+02,-1.361712259844972e+02
9.292929292929292e+00,-2.302194567235279e+02,-2.445764644972967e+02,-1.904120641225220e+02,-1.379917602627460e+02
9.393939393939394e+00,-2.332603155223255e+02,-2.478069581516126e+02,-1.929271260934983e+02,-1.398144274878731e+02
9.494949494949495e+00,-2.363046729791725e+02,-2.510411686482336e+02,-1.954450817673369e+02,-1.416391917815524e+02
9.595959595959595e+00,-2.393524708834181e+02,-2.542790341463606e+02,-1.979658829986273e+02,-1.434660182527703e+02
9.696969696969697e+00,-2.424036526092302e+02,-2.575204944888462e+02,-2.004894829527464e+02,-1.452948729604416e+02
9.797979797979798e+00,-2.454581630562126e+02,-2.607654911391082e+02,-2.030158360567422e+02,-1.471257228778151e+02
9.898989898989900e+00,-2.485159485928363e+02,-2.640139671210341e+02,-2.055448979525477e+02,-1.489585358585676e+02
1.000000000000000e+01,-2.515769570025255e+02,-2.672658669617037e+02,-2.080766254523883e+02,-1.507932806044877e+02
