r,F1,F2,n1,n2,DeltaF
# Parameters:
# xi_f1 = 10.0
# xi_f2 = 15.0
# k = 2.0
# Ek = 0.001
# E0 = 10.0
# DeltaE1 = 18.00
# DeltaE2 = 37.00

20.160160,14.516440,26.993344,1.002004,0.032064,-12.476904
20.207708,14.594390,27.338289,1.002004,0.032064,-12.743900
20.255255,14.672892,27.684892,1.002004,0.036072,-13.012000
20.302803,14.751953,28.036197,1.002004,0.036072,-13.284244
20.350350,14.831575,28.393900,1.002004,0.040080,-13.562325
20.397898,14.911766,28.751707,1.002004,0.040080,-13.839941
20.445445,14.992531,29.116219,1.002004,0.040080,-14.123688
20.492993,15.073875,29.484884,1.002004,0.044088,-14.411009
20.540541,15.155803,29.856214,1.002004,0.044088,-14.700411
20.588088,15.238322,30.234611,1.002004,0.044088,-14.996289
20.635636,15.321437,30.614091,1.002004,0.048096,-15.292654
20.683183,15.405154,30.999644,1.002004,0.048096,-15.594490
20.730731,15.489478,31.389912,1.002004,0.052104,-15.900433
