sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44
0.0596793564,0.0416183666,0.0569740467,0.0806079144,0.0457336272,0.0768444968,0.0831822663,0.1530192187,0.0563199364,0.0484255381,0.0540945362,0.0547786184,0.0419743096,0.0559872503,0.0723726337,0.0503068217,0.0702294411,0.2304797781,0.0646922368,0.0975082864,0.0535301712,0.0509518660,0.0435991762,0.0998353713,0.0697326898,0.0432309417,0.1825562252,0.0479562476,0.0496489505,0.0520310922,0.2866193873,0.0470973185,0.0714748032,0.0972849655,0.0466094433,0.2686350288,0.1783113796,0.0504528019,0.0491833956,0.0551195210,0.0629149780,0.0576704178,0.0463724310,0.0595200103
0.0616869462,0.0430118580,0.0588890907,0.0833397371,0.0472663213,0.0794448985,0.0860043184,0.1584217648,0.0582126364,0.0500495018,0.0559113093,0.0566187164,0.0433798263,0.0578685906,0.0748175903,0.0519946771,0.0726001624,0.2391658702,0.0668719096,0.1008377726,0.0553277112,0.0526616490,0.0450596229,0.1032481941,0.0720862283,0.0446789349,0.1891492605,0.0495642873,0.0513144533,0.0537775869,0.2980541174,0.0486762269,0.0738886408,0.1006064682,0.0481718129,0.2791515686,0.1847289974,0.0521456187,0.0508330868,0.0569712474,0.0650335492,0.0596092631,0.0479267681,0.0615221429
0.0636963427,0.0444059619,0.0608057065,0.0860760147,0.0487998282,0.0820491592,0.0888312665,0.1638549396,0.0601068546,0.0516744306,0.0577294276,0.0584602112,0.0447859713,0.0597514224,0.0772657702,0.0536836144,0.0749738287,0.2479574683,0.0690538839,0.1041751510,0.0571265547,0.0543725561,0.0465207739,0.1066694888,0.0744426498,0.0461276145,0.1957944551,0.0511732642,0.0529809960,0.0555252786,0.3096929850,0.0502560230,0.0763055830,0.1039358090,0.0497350430,0.2898358630,0.1911951990,0.0538395270,0.0524837889,0.0588243971,0.0671542372,0.0615497386,0.0494819526,0.0635260677
0.0657076055,0.0458006983,0.0627239459,0.0888168974,0.0503341746,0.0846574084,0.0916632762,0.1693198857,0.0620026411,0.0533003560,0.0595489354,0.0603031491,0.0461927653,0.0616357949,0.0797172810,0.0553736691,0.0773505382,0.2568591384,0.0712382361,0.1075206927,0.0589267446,0.0560846242,0.0479826521,0.1100995474,0.0768020502,0.0475770032,0.2024938611,0.0527832091,0.0546486129,0.0572742067,0.3215459363,0.0518367359,0.0787257334,0.1072732569,0.0512991617,0.3006957778,0.1977118806,0.0555345624,0.0541355353,0.0606790168,0.0692771122,0.0634918980,0.0510380121,0.0655318440
0.0677207944,0.0471960873,0.0646438609,0.0915625358,0.0518693870,0.0872697762,0.0945005134,0.1748177613,0.0639000461,0.0549273097,0.0613698771,0.0621475759,0.0476002286,0.0635217573,0.0821722308,0.0570648768,0.0797303895,0.2658755725,0.0734250428,0.1108746703,0.0607283240,0.0577978902,0.0494452806,0.1135386634,0.0791645261,0.0490271232,0.2092495692,0.0543941526,0.0563173381,0.0590244106,0.3336233030,0.0534183948,0.0811491961,0.1106190826,0.0528641971,0.3117394555,0.2042809727,0.0572307609,0.0557883590,0.0625351535,0.0714022446,0.0654357953,0.0525949746,0.0675395310
0.0697359695,0.0485921488,0.0665655035,0.0943130813,0.0534054921,0.0898863931,0.0973431452,0.1803497409,0.0657991197,0.0565553235,0.0631922972,0.0639935380,0.0490083820,0.0654093589,0.0846307279,0.0587572731,0.0821134815,0.2750115949,0.0756143807,0.1142373583,0.0625313358,0.0595123912,0.0509086825,0.1169871324,0.0815301742,0.0504779972,0.2160637100,0.0560061256,0.0579872058,0.0607759297,0.3459358268,0.0550010287,0.0835760755,0.1139735586,0.0544301776,0.3229753309,0.2109044411,0.0589281584,0.0574422934,0.0643928543,0.0735297048,0.0673814845,0.0541528677,0.0695491883
0.0717531909,0.0499889030,0.0684889260,0.0970686858,0.0549425167,0.0925073900,0.1001913391,0.1859170158,0.0676999125,0.0581844290,0.0650162400,0.0658410815,0.0504172459,0.0672986493,0.0870928814,0.0604508937,0.0844999132,0.2842721692,0.0778063269,0.1176090326,0.0643358232,0.0612281644,0.0523728808,0.1204452518,0.0838990914,0.0519296476,0.2229384557,0.0576191589,0.0596582503,0.0625288037,0.3584946846,0.0565846669,0.0860064762,0.1173369590,0.0559971315,0.3344121485,0.2175842887,0.0606267909,0.0590973717,0.0662521664,0.0756595636,0.0693290198,0.0557117194,0.0715608754
0.0737725188,0.0513863699,0.0704141805,0.0998295022,0.0564804874,0.0951328985,0.1030452636,0.1915207952,0.0696024748,0.0598146582,0.0668417503,0.0676902529,0.0518268411,0.0691896780,0.0895588002,0.0621457744,0.0868897842,0.2936624054,0.0800009586,0.1209899712,0.0661418294,0.0629452468,0.0538378987,0.1239133211,0.0862713751,0.0533820969,0.2298760225,0.0592332834,0.0613305060,0.0642830721,0.3713115149,0.0581693386,0.0884405033,0.1207095594,0.0575650871,0.3460589807,0.2243225571,0.0623266945,0.0607536274,0.0681131370,0.0777918918,0.0712784553,0.0572715575,0.0735746523
0.0757940138,0.0527845696,0.0723413196,0.1025956837,0.0580194311,0.0977630508,0.1059050880,0.1971623061,0.0715068573,0.0614460429,0.0686688728,0.0695410985,0.0532371881,0.0710824946,0.0920285942,0.0638419509,0.0892831944,0.3031875675,0.0821983533,0.1243804537,0.0679493976,0.0646636757,0.0553037594,0.1273916418,0.0886471230,0.0548353678,0.2368786716,0.0608485302,0.0630040073,0.0660387747,0.3843984474,0.0597550732,0.0908782623,0.1240916377,0.0591340727,0.3579252466,0.2311213281,0.0640279053,0.0624110939,0.0699758134,0.0799267605,0.0732298456,0.0588324100,0.0755905787
0.0778177364,0.0541835223,0.0742703958,0.1053673846,0.0595593746,0.1003979796,0.1087709825,0.2028427950,0.0734131106,0.0630786152,0.0704976523,0.0713936651,0.0546483076,0.0729771490,0.0945023733,0.0655394592,0.0916802439,0.3128530813,0.0843985886,0.1277807617,0.0697585714,0.0663834884,0.0567704860,0.1308805177,0.0910264331,0.0562894828,0.2439487121,0.0624649301,0.0646787886,0.0677959511,0.3977681327,0.0613418999,0.0933198590,0.1274834734,0.0607041168,0.3700207327,0.2379827253,0.0657304595,0.0640698046,0.0718402432,0.0820642410,0.0751832451,0.0603943049,0.0776087149
