sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44
57.6589698920,71.1458933731,58.8791996010,51.7969829842,66.5172160578,52.5420418718,51.3371698251,45.5852110666,59.2002480994,64.1708600734,60.3801573962,60.0021705742,70.6823060076,59.3678016353,53.5622882065,62.7645286033,54.1135528703,43.6641067055,55.7735020079,49.3253540134,60.7030150930,62.3195157387,68.7309142722,49.0654999840,54.2478829359,69.1509687401,44.6341056218,64.5493725896,63.2371884182,61.6129025618,42.9799918902,65.2739784194,53.7878168135,49.3510996108,65.7050572643,43.1643704265,44.7488048398,62.6622596732,63.5837988696,59.8190364293,56.3935591989,58.5491072650,65.9198625285,57.7264121914
57.8505279315,71.3822584674,59.0748115598,51.9690659842,66.7382034866,52.7166001505,51.5077252065,45.7366569506,59.3969266646,64.3840522996,60.5807559258,60.2015133336,70.9171309445,59.5650368566,53.7402360078,62.9730486319,54.2933321158,43.8091701829,55.9587960345,49.4892256214,60.9046862394,62.5265573192,68.9592561800,49.2285082896,54.4281084607,69.3807061778,44.7823916870,64.7638223324,63.4472787452,61.8175965902,43.1227825609,65.4908354905,53.9665138794,49.5150567524,65.9233464911,43.3077736505,44.8974719655,62.8704399379,63.7950407263,60.0177707696,56.5809132162,58.7436225715,66.1388653940,57.9181942917
58.0420859710,71.6186235617,59.2704235186,52.1411489841,66.9591909153,52.8911584291,51.6782805880,45.8881028345,59.5936052297,64.5972445258,60.7813544554,60.4008560930,71.1519558814,59.7622720780,53.9181838092,63.1815686605,54.4731113612,43.9542336603,56.1440900611,49.6530972295,61.1063573859,62.7335988997,69.1875980879,49.3915165952,54.6083339854,69.6104436154,44.9306777522,64.9782720752,63.6573690722,62.0222906187,43.2655732316,65.7076925617,54.1452109452,49.6790138939,66.1416357179,43.4511768745,45.0461390913,63.0786202026,64.0062825830,60.2165051099,56.7682672335,58.9381378780,66.3578682595,58.1099763920
58.2336440105,71.8549886559,59.4660354775,52.3132319840,67.1801783441,53.0657167078,51.8488359695,46.0395487185,59.7902837948,64.8104367519,60.9819529849,60.6001988524,71.3867808183,59.9595072994,54.0961316105,63.3900886891,54.6528906066,44.0992971378,56.3293840877,49.8169688375,61.3080285324,62.9406404803,69.4159399958,49.5545249008,54.7885595101,69.8401810531,45.0789638174,65.1927218180,63.8674593991,62.2269846471,43.4083639024,65.9245496329,54.3239080110,49.8429710355,66.3599249447,43.5945800985,45.1948062170,63.2868004673,64.2175244397,60.4152394502,56.9556212507,59.1326531845,66.5768711251,58.3017584923
58.4252020500,72.0913537502,59.6616474363,52.4853149840,67.4011657729,53.2402749864,52.0193913510,46.1909946024,59.9869623599,65.0236289781,61.1825515145,60.7995416117,71.6216057552,60.1567425208,54.2740794119,63.5986087176,54.8326698520,44.2443606152,56.5146781143,49.9808404455,61.5096996789,63.1476820608,69.6442819037,49.7175332064,54.9687850348,70.0699184908,45.2272498825,65.4071715608,64.0775497261,62.4316786756,43.5511545731,66.1414067040,54.5026050768,50.0069281771,66.5782141715,43.7379833226,45.3434733427,63.4949807320,64.4287662965,60.6139737905,57.1429752680,59.3271684911,66.7958739906,58.4935405927
58.6167600896,72.3277188445,59.8572593951,52.6573979839,67.6221532016,53.4148332651,52.1899467325,46.3424404864,60.1836409250,65.2368212042,61.3831500440,60.9988843711,71.8564306921,60.3539777422,54.4520272132,63.8071287462,55.0124490974,44.3894240926,56.6999721409,50.1447120535,61.7113708254,63.3547236413,69.8726238116,49.8805415120,55.1490105595,70.2996559285,45.3755359477,65.6216213037,64.2876400531,62.6363727040,43.6939452438,66.3582637752,54.6813021427,50.1708853186,66.7965033983,43.8813865466,45.4921404684,63.7031609967,64.6400081532,60.8127081308,57.3303292853,59.5216837976,67.0148768562,58.6853226930
58.8083181291,72.5640839387,60.0528713539,52.8294809839,67.8431406304,53.5893915437,52.3605021139,46.4938863703,60.3803194901,65.4500134304,61.5837485736,61.1982271305,72.0912556290,60.5512129635,54.6299750146,64.0156487748,55.1922283428,44.5344875701,56.8852661675,50.3085836615,61.9130419719,63.5617652218,70.1009657194,50.0435498176,55.3292360842,70.5293933661,45.5238220129,65.8360710465,64.4977303801,62.8410667325,43.8367359146,66.5751208463,54.8599992085,50.3348424602,67.0147926251,44.0247897706,45.6408075941,63.9113412614,64.8512500099,61.0114424711,57.5176833026,59.7161991041,67.2338797217,58.8771047933
58.9998761686,72.8004490330,60.2484833127,53.0015639838,68.0641280591,53.7639498224,52.5310574954,46.6453322542,60.5769980552,65.6632056565,61.7843471031,61.3975698899,72.3260805659,60.7484481849,54.8079228159,64.2241688034,55.3720075883,44.6795510475,57.0705601941,50.4724552695,62.1147131184,63.7688068024,70.3293076273,50.2065581232,55.5094616089,70.7591308038,45.6721080781,66.0505207893,64.7078207070,63.0457607609,43.9795265853,66.7919779175,55.0386962743,50.4987996017,67.2330818519,44.1681929946,45.7894747198,64.1195215261,65.0624918666,61.2101768114,57.7050373198,59.9107144107,67.4528825873,59.0688868936
59.1914342081,73.0368141273,60.4440952715,53.1736469838,68.2851154879,53.9385081010,52.7016128769,46.7967781382,60.7736766204,65.8763978827,61.9849456327,61.5969126493,72.5609055028,60.9456834063,54.9858706173,64.4326888320,55.5517868337,44.8246145249,57.2558542207,50.6363268776,62.3163842649,63.9758483829,70.5576495352,50.3695664288,55.6896871336,70.9888682415,45.8203941433,66.2649705321,64.9179110340,63.2504547894,44.1223172560,67.0088349887,55.2173933401,50.6627567433,67.4513710786,44.3115962186,45.9381418455,64.3277017908,65.2737337233,61.4089111517,57.8923913371,60.1052297172,67.6718854528,59.2606689939
59.3829922476,73.2731792215,60.6397072303,53.3457299837,68.5061029167,54.1130663796,52.8721682584,46.9482240221,60.9703551855,66.0895901089,62.1855441622,61.7962554087,72.7957304397,61.1429186277,55.1638184187,64.6412088606,55.7315660791,44.9696780023,57.4411482473,50.8001984856,62.5180554114,64.1828899634,70.7859914431,50.5325747344,55.8699126583,71.2186056792,45.9686802085,66.4794202750,65.1280013610,63.4551488178,44.2651079267,67.2256920598,55.3960904060,50.8267138849,67.6696603054,44.4549994426,46.0868089713,64.5358820555,65.4849755800,61.6076454919,58.0797453544,60.2997450237,67.8908883183,59.4524510942
